Ana Kelime,Yasaklı Kelime 1 (İpucu),Yasaklı Kelime 2,Yasaklı Kelime 3,Yasaklı Kelime 4,Yasaklı Kelime 5,Alt Kategori (Set),Nadirlik (Rarity)
Pervis Estupiñán,Brighton,Villarreal,Watford,Sol Bek,Ekvador,Kulüpler & Mabedler,Epic
Denis Zakaria,Monaco,Juventus,Chelsea,Gladbach,Ön Libero,Kulüpler & Mabedler,Epic
Emile Smith Rowe,Fulham,Arsenal,Huddersfield,Ofansif Orta Saha,İngiltere,Kulüpler & Mabedler,Epic
Rodrigo Bentancur,Tottenham,Juventus,Boca Juniors,Merkez Orta Saha,Uruguay,Kulüpler & Mabedler,Epic
Diogo Dalot,Manchester United,AC Milan,Porto Altyapı,Sağ Bek / Sol Bek,Portekiz,Kulüpler & Mabedler,Epic
Evan Ndicka,Roma,Eintracht Frankfurt,Auxerre,Stoper,Fildişi Sahili / Fransa,Kulüpler & Mabedler,Epic
Moussa Diaby,Al-Ittihad,Aston Villa,Bayer Leverkusen,PSG,Sağ Kanat,Kulüpler & Mabedler,Epic
Eder Militao,Real Madrid,Porto,Sao Paulo,Stoper,Brezilya,Kulüpler & Mabedler,Epic
David Hancko,Feyenoord,Sparta Prag,Fiorentina,Stoper / Sol Bek,Slovakya,Futbol Terimleri & Taktikler,Common
Takefusa Kubo,Real Sociedad,Real Madrid,Mallorca,Barcelona Altyapı,Sağ Kanat,Kulüpler & Mabedler,Epic
Amine Gouiri,Rennes,Nice,Lyon,Santrfor,Cezayir / Fransa,Yeşil Saha Efsaneleri,Rare
Jean Philippe Mateta,Crystal Palace,Mainz 05,Le Havre,Santrfor,Fransa,Yeşil Saha Efsaneleri,Rare
Quinten Timber,Feyenoord,Utrecht,Ajax Altyapı,Merkez Orta Saha,Hollanda,Kulüpler & Mabedler,Epic
Pedro Gonçalves,Sporting CP,Famalicao,Wolverhampton,Ofansif Orta Saha,Portekiz,Futbol Terimleri & Taktikler,Common
Jørgen Strand Larsen,Wolverhampton,Celta Vigo,Groningen,Santrfor,Norveç,Yeşil Saha Efsaneleri,Rare
Joshua Zirkzee,Manchester United,Bologna,Bayern Münih,Santrfor,Hollanda,Kulüpler & Mabedler,Epic
Lucas Chevalier,Lille,Kaleci,Fransa,Lille Akademisi,Milli Takıma Çağrılma,Futbol Terimleri & Taktikler,Common
Samuele Ricci,Torino,Empoli,Ön Libero,İtalya,Oyun Kurucu Yeteneği,Futbol Terimleri & Taktikler,Common
David Neres,Napoli,Benfica,Shakhtar Donetsk,Ajax,Sağ Kanat,Kulüpler & Mabedler,Epic
Reece James,Chelsea,Wigan,Sağ Bek,İngiltere,Kronik Sakatlıklar,Kulüpler & Mabedler,Epic
Kevin Schade,Brentford,Freiburg,Sağ Kanat,Almanya,Hız / Atletizm,Futbol Terimleri & Taktikler,Common
Douglas Luiz,Juventus,Aston Villa,Girona,Vasco da Gama,Merkez Orta Saha,Kulüpler & Mabedler,Epic
Nick Woltemade,Stuttgart,Werder Bremen,Santrfor,Almanya,Uzun Boy (1.98m),Yeşil Saha Efsaneleri,Rare
Randal Kolo Muani,PSG,Eintracht Frankfurt,Nantes,Santrfor,Fransa,Kulüpler & Mabedler,Epic
Giorgi Mamardashvili,Valencia,Dinamo Tiflis,Kaleci,Gürcistan,EURO 2024 Kurtarış Rekorları,Kupalar & Turnuvalar,Epic
Isak Hien,Atalanta,Hellas Verona,Djurgården,Stoper,İsveç,Futbol Terimleri & Taktikler,Common
Nicolò Rovella,Lazio,Juventus,Monza,Ön Libero,İtalya,Kulüpler & Mabedler,Epic
Santiago Gimenez,Feyenoord,Cruz Azul,Santrfor,Meksika / Arjantin,Gol Makinesi,Yeşil Saha Efsaneleri,Rare
Bart Verbruggen,Brighton,Anderlecht,Kaleci,Hollanda,EURO 2024 Birinci Kalecisi,Kupalar & Turnuvalar,Epic
Johan Bakayoko,PSV Eindhoven,Sağ Kanat,Belçika,Çalım,Şampiyonluk,Futbol Terimleri & Taktikler,Common
Harvey Elliott,Liverpool,Blackburn,Fulham Altyapı,Ofansif Orta Saha,İngiltere,Kulüpler & Mabedler,Epic
Mika Biereth,Sturm Graz,Arsenal Altyapı,Motherwell,Santrfor,Danimarka,Kulüpler & Mabedler,Epic
Yéremy Pino,Villarreal,Sağ Kanat,İspanya,Avrupa Ligi Şampiyonluğu,Çapraz Bağ Sakatlığı,Kulüpler & Mabedler,Epic
Youssouf Fofana,AC Milan,Monaco,Strasbourg,Merkez Orta Saha,Fransa,Kulüpler & Mabedler,Epic
Mario Gila,Lazio,Real Madrid Castilla,Stoper,İspanya,Lazio Defans Lideri,Kulüpler & Mabedler,Epic
Conor Bradley,Liverpool,Bolton,Sağ Bek,Kuzey İrlanda,Altyapı Çıkışı,Kulüpler & Mabedler,Epic
Marc Casadó,Barcelona,Ön Libero,İspanya,La Masia Altyapısı,Flick Dönemi Çıkışı,Kulüpler & Mabedler,Epic
Cristhian Mosquera,Valencia,Stoper,İspanya / Kolombiya,Valencia Akademisi,Güçlü Defans,Kulüpler & Mabedler,Epic
Matías Soule,Roma,Frosinone,Juventus,Sağ Kanat,Arjantin,Kulüpler & Mabedler,Epic
Malick Fofana,Lyon,Gent,Sol Kanat,Belçika,Hız / Çalım,Futbol Terimleri & Taktikler,Common
Mikel Jauregizar,Athletic Bilbao,Merkez Orta Saha,İspanya,Bask Bölgesi,Bilbao Akademisi,Futbol Terimleri & Taktikler,Common
Jack Grealish,Manchester City,Aston Villa,Sol Kanat,İngiltere,Saç Bandı / Düşük Çoraplar,Kulüpler & Mabedler,Epic
Unai Simon,Athletic Bilbao,Kaleci,İspanya,EURO 2024 Şampiyon Kaleci,2026 Dünya Kupası,Kupalar & Turnuvalar,Epic
Alex Iwobi,Fulham,Everton,Arsenal,Sağ Kanat,Nijerya,Kulüpler & Mabedler,Epic
Mason Mount,Manchester United,Chelsea,Derby County,Ofansif Orta Saha,İngiltere,Kulüpler & Mabedler,Epic
Manuel Akanji,Manchester City,Dortmund,Basel,Stoper,İsviçre,Kulüpler & Mabedler,Epic
Leon Bailey,Aston Villa,Bayer Leverkusen,Genk,Sağ Kanat,Jamaika,Futbol Terimleri & Taktikler,Common
Jadon Sancho,Chelsea,Dortmund,Manchester United,Sol Kanat,İngiltere,Kulüpler & Mabedler,Epic
Vitaliy Mykolenko,Everton,Dinamo Kiev,Sol Bek,Ukrayna,Defans,Kulüpler & Mabedler,Epic
Felix Nmecha,Dortmund,Wolfsburg,Manchester City Altyapı,Merkez Orta Saha,Almanya / İngiltere,Kulüpler & Mabedler,Epic
Jakub Kiwior,Arsenal,Spezia,Stoper / Sol Bek,Polonya,Sol Ayaklı Defans,Kulüpler & Mabedler,Epic
Lewis Ferguson,Bologna,Aberdeen,Merkez Orta Saha,İskoçya,Serie A Yılın Orta Sahası,Kupalar & Turnuvalar,Epic
Sam Beukema,Bologna,AZ Alkmaar,Go Ahead Eagles,Stoper,Hollanda,Futbol Terimleri & Taktikler,Common
Bafode Diakite,Lille,Toulouse,Stoper,Fransa,Golcü Defans,Futbol Terimleri & Taktikler,Common
Nathan Collins,Brentford,Wolverhampton,Burnley,Stoper,İrlanda,Futbol Terimleri & Taktikler,Common
Kenneth Taylor,Ajax,Merkez Orta Saha,Hollanda,Ajax Akademisi,Oyun Kurucu,Kulüpler & Mabedler,Epic
Lucas Paquetá,West Ham,Lyon,Milan,Flamengo,Ofansif Orta Saha,Kulüpler & Mabedler,Epic
Ian Maatsen,Aston Villa,Dortmund,Burnley,Chelsea,Sol Bek,Kulüpler & Mabedler,Epic
Francisco Conceiçao,Juventus,Porto,Ajax,Sağ Kanat,Portekiz,Kulüpler & Mabedler,Epic
Anatoliy Trubin,Benfica,Shakhtar Donetsk,Kaleci,Ukrayna,Boy / Uzun Menzil,Kulüpler & Mabedler,Epic
Mikkel Damsgaard,Brentford,Sampdoria,Ofansif Orta Saha,Danimarka,EURO 2020 İngiltere'ye Frikik Golü,Kupalar & Turnuvalar,Epic
Pierre Kalulu,Juventus,AC Milan,Lyon Altyapı,Sağ Bek / Stoper,Fransa,Kulüpler & Mabedler,Epic
Bilal El Khannouss,Leicester City,Genk,Ofansif Orta Saha,Fas / Belçika,Dünya Kupası Dördüncülüğü,Kupalar & Turnuvalar,Epic
Simon Adingra,Brighton,Union SG,Sağ Kanat,Fildişi Sahili,Afrika Kupası Finali MVP / Şampiyonluk,Kupalar & Turnuvalar,Epic
Andre,Wolverhampton,Fluminense,Ön Libero,Brezilya,Libertadores Şampiyonluğu,Yeşil Saha Efsaneleri,Rare
Danilo,Nottingham Forest,Palmeiras,Ön Libero,Brezilya,Fizik Gücü / Pres,Yeşil Saha Efsaneleri,Rare
Dango Ouattara,Bournemouth,Lorient,Sağ Kanat,Burkina Faso,Hız / Sürat,Futbol Terimleri & Taktikler,Common
Joel Ordonez,Club Brugge,Independiente del Valle,Stoper,Ekvador,Hız,Futbol Terimleri & Taktikler,Common
Antonio Nusa,RB Leipzig,Club Brugge,Sol Kanat,Norveç,Çalım Yeteneği / Yeni Neymar Yakıştırması,Futbol Terimleri & Taktikler,Common
Vitor Reis,Palmeiras,Stoper,Brezilya,Palmeiras Akademisi,Wonderkid Defans,Futbol Terimleri & Taktikler,Common
Joachim Andersen,Fulham,Crystal Palace,Lyon,Sampdoria,Stoper,Futbol Terimleri & Taktikler,Common
Patrik Schick,Bayer Leverkusen,Roma,Sampdoria,Santrfor,Çekya,Kulüpler & Mabedler,Epic
Frank Anguissa,Napoli,Fulham,Marsilya,Merkez Orta Saha,Kamerun,Kulüpler & Mabedler,Epic
Ismael Saibari,PSV Eindhoven,Ofansif Orta Saha,Fas / İspanya,Fizik Gücü / Çalım,Kadife bilek,Futbol Terimleri & Taktikler,Common
Carlos Augusto,Inter,Monza,Corinthians,Sol Bek / Sol Stoper,Brezilya,Kulüpler & Mabedler,Epic
Mike Maignan,AC Milan,Lille,Kaleci,Fransa,Magic Mike Lakabı,Kulüpler & Mabedler,Epic
Adrien Rabiot,Marsilya,Juventus,PSG,Merkez Orta Saha,Fransa,Kulüpler & Mabedler,Epic
John Stones,Manchester City,Everton,Stoper / Ön Libero,İngiltere,Pep Guardiola'nın Orta Sahaya Çekmesi,Kulüpler & Mabedler,Epic
Julian Brandt,Dortmund,Bayer Leverkusen,Ofansif Orta Saha,Almanya,Teknik / Oyun Görüşü,Kulüpler & Mabedler,Epic
Stanislav Lobotka,Napoli,Celta Vigo,Ön Libero,Slovakya,Xavi Hernandez'in En Beğendiği Orta Saha,Kulüpler & Mabedler,Epic
Nathan Aké,Manchester City,Bournemouth,Chelsea Altyapı,Stoper / Sol Bek,Hollanda,Kulüpler & Mabedler,Epic
Konrad Laimer,Bayern Münih,RB Leipzig,Merkez Orta Saha,Avusturya,Çok Koşma / Pres Gücü,Kulüpler & Mabedler,Epic
Rúben Neves,Al-Hilal,Wolverhampton,Porto,Merkez Orta Saha,Portekiz,Kulüpler & Mabedler,Epic
André Onana,Manchester United,Inter,Ajax,Kaleci,Kamerun,Kulüpler & Mabedler,Epic
Kevin Danso,Lens,Augsburg,Stoper,Avusturya,Fizik Gücü,Futbol Terimleri & Taktikler,Common
Ivan Toney,Al-Ahli,Brentford,Bahis soruşturması,Santrfor,İngiltere,Yeşil Saha Efsaneleri,Rare
Mile Svilar,Roma,Benfica,Kaleci,Sırbistan / Belçika,De Rossi Dönemi Çıkışı,Kulüpler & Mabedler,Epic
Noa Lang,PSV Eindhoven,Napoli,Reklam Panosu,Sol Kanat,Galatasaray,Kulüpler & Mabedler,Epic
Noussair Mazraoui,Manchester United,Bayern Münih,Ajax,Sağ Bek / Sol Bek,Fas,Kulüpler & Mabedler,Epic
Gerson,Flamengo,Marsilya,Roma,Merkez Orta Saha,Brezilya,Kulüpler & Mabedler,Epic
Trevoh Chalobah,Crystal Palace,Chelsea,Stoper,İngiltere,Chelsea Akademisi,Kulüpler & Mabedler,Epic
Mikel Oyarzabal,Real Sociedad,Forvet / Kanat,İspanya,EURO 2024 Final Golü (İngiltere'ye),Tek Kulüp Efsanesi,Kupalar & Turnuvalar,Epic
Lucas Hernández,PSG,Bayern Münih,Atletico Madrid,Stoper / Sol Bek,Fransa,Kulüpler & Mabedler,Epic
Donyell Malen,Arsenal Altyapı,PSV Eindhoven,Dortmund,Sağ Kanat,Hollanda,Kulüpler & Mabedler,Epic
Sander Berge,Fulham,Burnley,Sheffield United,Genk,Ön Libero,Yeşil Saha Efsaneleri,Rare
Callum Hudson Odoi,Nottingham Forest,Bayer Leverkusen,Chelsea,Sol Kanat,İngiltere,Kulüpler & Mabedler,Epic
Benjamin Pavard,Inter,Bayern Münih,2018 Dünya Kupası Arjantin'e Attığı Efsane Gol (Vole),Stoper / Sağ Bek,Fransa,Kupalar & Turnuvalar,Epic
Hiroki Ito,Bayern Münih,Stuttgart,Stoper / Sol Bek,Japonya,Sakatlık (Yeni Transferken),Kulüpler & Mabedler,Epic
Ritsu Doan,Freiburg,PSV Eindhoven,Frankfurt,Sağ Kanat,Japonya,Futbol Terimleri & Taktikler,Common
Riccardo Orsolini,Bologna,Ascoli,Sağ Kanat,İtalya,Sol Ayak,Futbol Terimleri & Taktikler,Common
Edson Alvarez,West Ham,Ajax,Fenerbahçe,Ön Libero,Meksika,Kulüpler & Mabedler,Epic
Giacomo Raspadori,Napoli,Sassuolo,Santrfor,İtalya,EURO 2020 Şampiyonluğu,Kupalar & Turnuvalar,Epic
Joey Veerman,PSV Eindhoven,Heerenveen,Volendam,Merkez Orta Saha,Hollanda,Futbol Terimleri & Taktikler,Common
Ismaila Sarr,Crystal Palace,Marsilya,Watford,Sağ Kanat,Senegal,Futbol Terimleri & Taktikler,Common
Yves Bissouma,Tottenham,Brighton,Lille,Ön Libero,Mali,Kulüpler & Mabedler,Epic
Mats Wieffer,Brighton,Feyenoord,Excelsior,Ön Libero,Hollanda,Yeşil Saha Efsaneleri,Rare
Matty Cash,Aston Villa,Nottingham Forest,Sağ Bek,Polonya / İngiltere,Devşirme Polonyalı Oyuncu,Futbol Terimleri & Taktikler,Common
Maxence Lacroix,Crystal Palace,Wolfsburg,Stoper,Fransa,Hız / Fizik,Futbol Terimleri & Taktikler,Common
Marco Carnesecchi,Atalanta,Cremonese,Kaleci,İtalya,Avrupa Ligi Şampiyonluğu,Futbol Terimleri & Taktikler,Common
Calvin Bassey,Fulham,Ajax,Rangers,Stoper / Sol Bek,Nijerya / İngiltere,Kulüpler & Mabedler,Epic
Facundo Medina,Lens,Talleres,Stoper / Sol Bek,Arjantin,Sert Savunma,Futbol Terimleri & Taktikler,Common
Wesley Fofana,Chelsea,Leicester City,Saint-Etienne,Stoper,Fransa,Kulüpler & Mabedler,Epic
Christos Tzolis,Club Brugge,Düsseldorf,Norwich,Sol Kanat,Yunanistan,Futbol Terimleri & Taktikler,Common
Daniel Munoz,Crystal Palace,Genk,Atletico Nacional,Sağ Bek,Kolombiya,Futbol Terimleri & Taktikler,Common
Edon Zhegrova,Lille,Basel,Juventus,Sağ Kanat,Kosova,Kulüpler & Mabedler,Epic
Evann Guessand,Nice,Nantes,Santrfor,Fildişi Sahili / Fransa,Fizik / Dribbling,Yeşil Saha Efsaneleri,Rare
Taty Castellanos,Lazio,Girona,New York City,Santrfor,Arjantin,Kulüpler & Mabedler,Epic
Maximilian Kilman,West Ham,Wolverhampton,Stoper,İngiltere,Futsal Geçmişi / Futsal Milli Takımı,Kulüpler & Mabedler,Epic
Nuno Tavares,Lazio,Marsilya,Arsenal,Benfica,Sol Bek,Kulüpler & Mabedler,Epic
Dilane Bakwa,Strasbourg,Bordeaux,Sağ Kanat,Fransa,Genç Yetenek,Futbol Terimleri & Taktikler,Common
Cheick Doucoure,Crystal Palace,Lens,Ön Libero,Mali,Sakatlık / Sezonu Kapatma,Yeşil Saha Efsaneleri,Rare
Kang in Lee,PSG,Mallorca,Valencia,Sağ Kanat,Güney Kore,Kulüpler & Mabedler,Epic
Emmanuel Emegha,Strasbourg,Sturm Graz,Santrfor,Hollanda,Boy (1.95m) / Hız,Yeşil Saha Efsaneleri,Rare
Joan Garcia,Espanyol,Kaleci,İspanya,Olimpiyat Altın Madalyası,Arsenal Transfer Dedikoduları,Kulüpler & Mabedler,Epic
Radu Dragusin,Tottenham,Genoa,Juventus Altyapı,Stoper,Romanya,Kulüpler & Mabedler,Epic
Jean Clair Todibo,West Ham,Nice,Barcelona,Schalke,Stoper,Kulüpler & Mabedler,Epic
Thiago Almada,Botafogo,Atlanta United,Velez Sarsfield,Ofansif Orta Saha,Arjantin,Futbol Terimleri & Taktikler,Common
Maximilian Beier,Dortmund,Hoffenheim,Santrfor,Almanya,Hız / Golcü,Kulüpler & Mabedler,Epic
Dwight McNeil,Everton,Burnley,Sol Kanat,İngiltere,Orta / Frikik,Kulüpler & Mabedler,Epic
Johnny Cardoso,Real Betis,Internacional,Merkez Orta Saha,ABD / Brezilya,La Liga Sürpriz Transfer Başarısı,Kupalar & Turnuvalar,Epic
Luis Henrique,Marsilya,Botafogo,Sol Kanat,Brezilya,Hız / Çalım,Futbol Terimleri & Taktikler,Common
Brajan Gruda,Brighton,Mainz 05,Sağ Kanat,Almanya / Arnavutluk,Sol Ayak Teknik / Wonderkid,Futbol Terimleri & Taktikler,Common
Evan Ferguson,Brighton,Santrfor,İrlanda,Premier Lig Hat-trick (En Gençlerden),Güçlü Fizik,Futbol Terimleri & Taktikler,Common
Wilfried Singo,Monaco,Torino,Stoper / Sağ Bek,Fildişi Sahili,Afrika Kupası Şampiyonu,Kupalar & Turnuvalar,Epic
Oscar Bobb,Manchester City,Valerenga,Sağ Kanat,Norveç,City Altyapı Çıkışı,Kulüpler & Mabedler,Epic
Luiz Henrique,Botafogo,Real Betis,Sağ Kanat,Brezilya,Brezilya Milli Takım Golleri,Futbol Terimleri & Taktikler,Common
Renato Veiga,Chelsea,Basel,Sporting CP Altyapı,Sol Bek / Ön Libero / Stoper,Portekiz,Kulüpler & Mabedler,Epic
Loic Bade,Sevilla,Nottingham Forest,Rennes,Stoper,Fransa,Kulüpler & Mabedler,Epic
Tyrick Mitchell,Crystal Palace,Sol Bek,İngiltere,Palace Akademisi,,Futbol Terimleri & Taktikler,Common
Alberto Moleiro,Las Palmas,Ofansif Orta Saha,İspanya,Pedri Benzetmesi,Kanarya Adaları,Futbol Terimleri & Taktikler,Common
Pietro Comuzzo,Fiorentina,Stoper,İtalya,Fiorentina Akademisi,Genç Defans Yeteneği,Futbol Terimleri & Taktikler,Common
Javi Guerra,Valencia,Merkez Orta Saha,İspanya,Valencia Altyapısı,Genç Yıldız,Kulüpler & Mabedler,Epic
Patrick Dorgu,Lecce,Nordsjælland,Sol Bek / Sol Kanat,Danimarka / Nijerya,Milli Takımda İlk Dokunuşta Gol,Futbol Terimleri & Taktikler,Common
Pio Esposito,İtalya,Inter Altyapı,Santrfor,Spezia,Brescia,Kulüpler & Mabedler,Epic
Lucas Beraldo,PSG,Sao Paulo,Stoper,Brezilya,Gülümseyerek İstiklal Marşı Okuma/Konsantrasyon Ritüeli,Kulüpler & Mabedler,Epic
Gianluca Scamacca,Atalanta,West Ham,Sassuolo,Santrfor,İtalya,Kulüpler & Mabedler,Epic
Ibrahim Sangare,Nottingham Forest,PSV Eindhoven,Toulouse,Ön Libero,Fildişi Sahili,Yeşil Saha Efsaneleri,Rare
Raoul Bellanova,Atalanta,Torino,Inter,Sağ Bek,İtalya,Kulüpler & Mabedler,Epic
Arthur Theate,Eintracht Frankfurt,Rennes,Bologna,Stoper / Sol Bek,Belçika,Futbol Terimleri & Taktikler,Common
Josip Sutalo,Ajax,Dinamo Zagreb,Stoper,Hırvatistan,Dünya Kupası Üçüncülüğü,Kupalar & Turnuvalar,Epic
Dodo,Fiorentina,Shakhtar Donetsk,Coritiba,Sağ Bek,Brezilya,Kulüpler & Mabedler,Epic
Youssef En Nesyri,Fas,Sevilla,Fenerbahçe,Malaga,Santrfor,Kulüpler & Mabedler,Epic
Aaron Wan Bissaka,West Ham,Manchester United,Crystal Palace,Sağ Bek,İngiltere,Kulüpler & Mabedler,Epic
Galeno,Porto,Braga,Sol Kanat,Brezilya / Portekiz,Şampiyonlar Ligi Golleri,Kulüpler & Mabedler,Epic
Paul Nebel,Mainz 05,Karlsruher,Ofansif Orta Saha,Almanya,Genç Yetenek,Futbol Terimleri & Taktikler,Common
Federico Gatti,Juventus,Frosinone,Stoper,İtalya,İnşaat İşçiliğinden Juventus'a Yükseliş Öyküsü,Kulüpler & Mabedler,Epic
Conrad Harder,Sporting CP,Nordsjælland,Santrfor,Danimarka,Yüksek Bonservis,Yeşil Saha Efsaneleri,Rare
Jack Hinshelwood,Brighton,Sağ Bek / Orta Saha,İngiltere,Brighton Altyapı,Hinshelwood Futbol Ailesi Sülalesi,Futbol Terimleri & Taktikler,Common
Keane Lewis Potter,Brentford,Hull City,Sol Kanat,İngiltere,Hız / Çalım,Futbol Terimleri & Taktikler,Common
Mohamed Simakan,Al-Nassr,RB Leipzig,Strasbourg,Stoper / Sağ Bek,Fransa,Futbol Terimleri & Taktikler,Common
Leon Goretzka,Bayern Münih,Schalke 04,Merkez Orta Saha,Almanya,Kas Gelişimi / Fiziksel Değişim,Kulüpler & Mabedler,Epic
Serge Gnabry,Bayern Münih,Werder Bremen,Arsenal,Sağ Kanat,Almanya,Kulüpler & Mabedler,Epic
Ola Aina,Nottingham Forest,Torino,Chelsea Altyapı,Sağ Bek / Sol Bek,Nijerya / İngiltere,Kulüpler & Mabedler,Epic
Joe Willock,Newcastle United,Arsenal,Merkez Orta Saha,İngiltere,Newcastle Kiralıkken Üst Üste Gol Rekoru,Kulüpler & Mabedler,Epic
Jerdy Schouten,PSV Eindhoven,Bologna,Ön Libero,Hollanda,Pas Dağıtıcı / Sakinlik,Futbol Terimleri & Taktikler,Common
Malcom,Al-Hilal,Zenit,Barcelona,Bordeaux,Sağ Kanat,Kulüpler & Mabedler,Epic
Weston McKennie,Juventus,Leeds United,Schalke 04,Merkez Orta Saha,ABD,Kulüpler & Mabedler,Epic
Ermedin Demirovic,Stuttgart,Augsburg,Freiburg,Santrfor,Bosna Hersek,Yeşil Saha Efsaneleri,Rare
Brais Mendez,Real Sociedad,Celta Vigo,Ofansif Orta Saha,İspanya,Sol Ayak,Futbol Terimleri & Taktikler,Common
Axel Disasi,Chelsea,Monaco,Reims,Stoper,Fransa,Kulüpler & Mabedler,Epic
Florentino,Benfica,Getafe,Monaco,Ön Libero,Portekiz,Kulüpler & Mabedler,Epic
Jhon Lucumi,Bologna,Genk,Deportivo Cali,Stoper,Kolombiya,Futbol Terimleri & Taktikler,Common
Benoit Badiashile,Chelsea,Monaco,Stoper,Fransa,Boy / Fizik,Kulüpler & Mabedler,Epic
Nwankwo Kanu,Kalp Ameliyatı,Ajax,Inter,Arsenal,Nijerya,Kulüpler & Mabedler,Epic
Hristo Stoichkov,Altın Ayakkabı 1990,CSKA Sofya,Parma,Barcelona,Bulgaristan,Kupalar & Turnuvalar,Epic
Dragan Stojkovic,Piksi,Nagoya Grampus,Kızılyıldız,Marsilya,Sırbistan,Yeşil Saha Efsaneleri,Rare
Dejan Savicevic,Il Genio,Buducnost,Kızılyıldız,Milan,Karadağ,Kulüpler & Mabedler,Epic
Davor Suker,Osijek,Sevilla,1998 Gol Kralı,Real Madrid,Hırvatistan,Kulüpler & Mabedler,Epic
Predrag Mijatovic,Buducnost,Valencia,1998 Final Golü,Real Madrid,Karadağ,Kulüpler & Mabedler,Epic
George Weah,Tonnerre Yaounde,Monaco,Milan,1995 Ballon d'Or,Liberya,Kupalar & Turnuvalar,Epic
Sunday Oliseh,Reggiana,Ajax,Juventus,1998 İspanya Golü,Nijerya,Kulüpler & Mabedler,Epic
Taribo West,Auxerre,Saç Örgüsü,Inter,Nijerya,Stoper,Kulüpler & Mabedler,Epic
Samuel Kuffour,Torino,Roma,Bayern Münih,Gana,Stoper,Kulüpler & Mabedler,Epic
Anthony Yeboah,Leeds Füze Golü,Saarbrücken,Eintracht Frankfurt,Gana,Forvet,Yeşil Saha Efsaneleri,Rare
El Hadji Diouf,Sochaux,Lens,Liverpool,Senegal,2002 Dünya Kupası,Kupalar & Turnuvalar,Epic
Papa Bouba Diop,Lens,Fulham,2002 Fransa Golü,Senegal,Orta Saha,Futbol Terimleri & Taktikler,Common
Asamoah Gyan,Udinese,Rennes,Sunderland,Gana,2010 Penaltı,Futbol Terimleri & Taktikler,Common
Sulley Muntari,Portsmouth,Inter,Milan,Gana,Sol Ayak,Kulüpler & Mabedler,Epic
Kolo Toure,ASEC Mimosas,Arsenal,Manchester City,Liverpool,Fildişi Sahili,Kulüpler & Mabedler,Epic
Seydou Keita,Lorient,Sevilla,Barcelona,Mali,Orta Saha,Kulüpler & Mabedler,Epic
Frederic Kanoute,Lyon,West Ham,Sevilla,Mali,Forvet,Kulüpler & Mabedler,Epic
Ali Daei,Arminia Bielefeld,Hertha Berlin,Bayern Münih,İran,Gol Rekoru,Kulüpler & Mabedler,Epic
Mehdi Mahdavikia,Bochum,Hamburg,Sağ Kanat,İran,Hız,Futbol Terimleri & Taktikler,Common
Hidetoshi Nakata,Bellmare Hiratsuka,Perugia,Parma,Japonya,Orta Saha,Futbol Terimleri & Taktikler,Common
Keisuke Honda,VVV-Venlo,CSKA Moskova,Milan,Japonya,Sol Ayak,Kulüpler & Mabedler,Epic
Yasuhito Endo,Yokohama Flügels,Gamba Osaka,Japonya,Orta Saha,Penaltı,Futbol Terimleri & Taktikler,Common
Mark Viduka,Croatia Zagreb,Celtic,Leeds United,Avustralya,Santrfor,Kulüpler & Mabedler,Epic
Wynton Rufer,Grasshoppers,Werder Bremen,Yeni Zelanda,Okyanusya,Forvet,Yeşil Saha Efsaneleri,Rare
Claudio Reyna,Bayer Leverkusen,Rangers,Sunderland,ABD,Orta Saha,Kulüpler & Mabedler,Epic
Landon Donovan,San Jose Earthquakes,Bayer Leverkusen,LA Galaxy,ABD,10 Numara,Yeşil Saha Efsaneleri,Rare
DaMarcus Beasley,PSV,Rangers,Manchester City,ABD,Sol Kanat,Kulüpler & Mabedler,Epic
Rafael Marquez,Atlas,Monaco,Barcelona,Meksika,Stoper,Kulüpler & Mabedler,Epic
Jared Borgetti,Santos Laguna,Bolton,Meksika,Kafa Golü,Santrfor,Yeşil Saha Efsaneleri,Rare
Claudio Pizarro,Deportivo Pesquero,Chelsea,Werder Bremen,Bayern Münih,Peru,Kulüpler & Mabedler,Epic
Teofilo Cubillas,Basel,Porto,Peru,1970 Dünya Kupası,10 Numara,Kupalar & Turnuvalar,Epic
Ivan Zamorano,St. Gallen,Sevilla,1+8 Forması,Real Madrid,Şili,Kulüpler & Mabedler,Epic
Marcelo Salas,Universidad de Chile,Lazio,Juventus,Şili,Matador,Kulüpler & Mabedler,Epic
Alvaro Recoba,Danubio,Venezia,Inter,Uruguay,Sol Ayak,Kulüpler & Mabedler,Epic
Jose Luis Chilavert,Zaragoza,Velez Sarsfield,Paraguay,Frikikçi Kaleci,Golcü Kaleci,Futbol Terimleri & Taktikler,Common
Carlos Valderrama,Montpellier,Tampa Bay Mutiny,Sarı Saç,Kolombiya,10 Numara,Yeşil Saha Efsaneleri,Rare
Freddy Rincon,Palmeiras,Napoli,Real Madrid,Kolombiya,Orta Saha,Kulüpler & Mabedler,Epic
Faustino Asprilla,Parma,Newcastle,Kolombiya,Tino,Forvet,Kulüpler & Mabedler,Epic
Rene Higuita,Akrep Kurtarışı,Real Valladolid,Atletico Nacional,Kolombiya,Kaleci,Futbol Terimleri & Taktikler,Common
Alex Aguinaga,Necaxa,Deportivo Quito,Ekvador,10 Numara,Orta Saha,Futbol Terimleri & Taktikler,Common
